mapping_id,degree_family,programme_name,stream_group,eligibility_status
MAP0406,Humanities & Social Sciences,BA Economics,Commerce,GREEN
MAP0407,Humanities & Social Sciences,BA Economics,Humanities,GREEN
MAP0408,Humanities & Social Sciences,BA Journalism,PCM,GREEN
MAP0409,Humanities & Social Sciences,BA Journalism,PCB,GREEN
MAP0410,Humanities & Social Sciences,BA Journalism,Commerce,GREEN
MAP0411,Humanities & Social Sciences,BA Journalism,Humanities,GREEN
MAP0412,Humanities & Social Sciences,BA Mass Communication,PCM,GREEN
MAP0413,Humanities & Social Sciences,BA Mass Communication,PCB,GREEN
MAP0414,Humanities & Social Sciences,BA Mass Communication,Commerce,GREEN
MAP0415,Humanities & Social Sciences,BA Mass Communication,Humanities,GREEN
MAP0416,Humanities & Social Sciences,BA International Relations,PCM,GREEN
MAP0417,Humanities & Social Sciences,BA International Relations,PCB,GREEN
MAP0418,Humanities & Social Sciences,BA International Relations,Commerce,GREEN
MAP0419,Humanities & Social Sciences,BA International Relations,Humanities,GREEN
MAP0420,Humanities & Social Sciences,BA Public Policy,PCM,GREEN
MAP0421,Humanities & Social Sciences,BA Public Policy,PCB,GREEN
MAP0422,Humanities & Social Sciences,BA Public Policy,Commerce,GREEN
MAP0423,Humanities & Social Sciences,BA Public Policy,Humanities,GREEN
MAP0424,Humanities & Social Sciences,BA Anthropology,PCM,GREEN
MAP0425,Humanities & Social Sciences,BA Anthropology,PCB,GREEN
MAP0426,Humanities & Social Sciences,BA Anthropology,Commerce,GREEN
MAP0427,Humanities & Social Sciences,BA Anthropology,Humanities,GREEN
MAP0428,Humanities & Social Sciences,BA Linguistics,PCM,GREEN
MAP0429,Humanities & Social Sciences,BA Linguistics,PCB,GREEN
MAP0430,Humanities & Social Sciences,BA Linguistics,Commerce,GREEN
MAP0431,Humanities & Social Sciences,BA Linguistics,Humanities,GREEN
MAP0432,Design,B.Des,PCM,GREEN
MAP0433,Design,B.Des,PCB,GREEN
MAP0434,Design,B.Des,Commerce,GREEN
MAP0435,Design,B.Des,Humanities,GREEN
MAP0436,Design,B.Des,Vocational,GREEN
MAP0437,Design,BFA,PCM,GREEN
MAP0438,Design,BFA,PCB,GREEN
MAP0439,Design,BFA,Commerce,GREEN
MAP0440,Design,BFA,Humanities,GREEN
MAP0441,Design,BFA,Vocational,GREEN
MAP0442,Design,Fashion Design,PCM,GREEN
MAP0443,Design,Fashion Design,PCB,GREEN
MAP0444,Design,Fashion Design,Commerce,GREEN
MAP0445,Design,Fashion Design,Humanities,GREEN
MAP0446,Design,Fashion Design,Vocational,GREEN
MAP0447,Design,Communication Design,PCM,GREEN
MAP0448,Design,Communication Design,PCB,GREEN
MAP0449,Design,Communication Design,Commerce,GREEN
MAP0450,Design,Communication Design,Humanities,GREEN
MAP0451,Design,Communication Design,Vocational,GREEN
MAP0452,Design,Product Design,PCM,GREEN
MAP0453,Design,Product Design,PCB,GREEN
MAP0454,Design,Product Design,Commerce,GREEN
MAP0455,Design,Product Design,Humanities,GREEN
MAP0456,Design,Product Design,Vocational,GREEN
MAP0457,Design,Interior Design,PCM,GREEN
MAP0458,Design,Interior Design,PCB,GREEN
MAP0459,Design,Interior Design,Commerce,GREEN
MAP0460,Design,Interior Design,Humanities,GREEN
MAP0461,Design,Interior Design,Vocational,GREEN
MAP0462,Design,UX/UI Design,PCM,GREEN
MAP0463,Design,UX/UI Design,PCB,GREEN
MAP0464,Design,UX/UI Design,Commerce,GREEN
MAP0465,Design,UX/UI Design,Humanities,GREEN
MAP0466,Design,UX/UI Design,Vocational,GREEN
